2015 09 28   11.05   19.19   12.62   25.55   14.50   19.07              0.45              0.45              -999              3.60
2015 09 29   10.94   18.33   10.59   23.89   12.95   17.90              0.60              0.60              -999              4.69
2015 09 30    9.76   18.43   11.89   23.91   14.14   18.60              0.48              0.48              -999              3.69
2015 10 01   11.53   16.32   13.57   21.38    9.85   15.88              0.14              0.14              -999              1.06
2015 10 02   12.16   15.41    9.38   20.43    8.26   15.14              0.56              0.56              -999              4.37
2015 10 03    8.18   15.82    9.52   19.10   10.92   15.42              0.63              0.63              4.78              4.72
2015 10 04   11.65   15.14    6.35   20.37    8.73   14.72              0.52              0.52              4.73              3.88
2015 10 05   10.77   15.87    9.36   21.95   11.19   16.33              0.62              0.62              4.66              4.65
2015 10 06   10.31   16.04   11.04   22.23   11.92   16.59              0.62              0.62              4.59              4.55
2015 10 07    9.28   15.88   12.47   20.99   11.71   16.65              0.48              0.48              -999              3.48
2015 10 08    9.11   17.07   12.76   22.13   13.02   17.12              0.60              0.60              4.44              4.38
2015 10 09    9.65   13.80    5.77   17.76    8.10   13.22              0.65              0.65              4.57              4.55
2015 10 10    6.02   12.75    8.71   15.33    9.31   12.50              0.41              0.41              -999              2.92
2015 10 11    6.43   11.03    7.62   13.77    7.34   10.38              0.27              0.27              -999              1.92
2015 10 12    9.33   11.60    6.41   15.79    6.47   10.56              0.62              0.62              4.33              4.26
2015 10 13   12.37   13.05    9.24   19.66    7.29   13.39              0.60              0.60              4.25              4.19
2015 10 14   11.94   14.47    9.34   21.40    9.47   15.24              0.60              0.60              4.22              4.15
2015 10 15   12.26   15.09   10.09   22.01    9.76   15.45              0.58              0.58              -999              4.01
2015 10 16   10.59   15.73   10.88   22.23   11.64   16.41              0.57              0.57              -999              3.82
2015 10 17   12.28   15.62   10.79   22.86   10.58   16.15              0.60              0.60              4.08              3.95
2015 10 18    9.75   15.37   12.67   21.42   11.67   15.85              0.57              0.57              3.94              3.73
2015 10 19    8.85   15.51   12.88   20.75   11.90   15.33              0.49              0.49              3.83              3.23
2015 10 20   10.03   15.64   10.97   21.88   11.85   16.07              0.57              0.57              -999              3.66
2015 10 21    9.12   15.62   13.15   20.82   11.70   15.62              0.49              0.49              -999              3.16
2015 10 22    8.12   15.37   11.68   20.17   12.05   15.13              0.47              0.47              -999              2.98
2015 10 23    6.76   15.76   12.59   19.62   12.86   15.47              0.46              0.46              -999              2.88
